"product_id";"video_link_github";"title";"price";"product_link";"availability";"condition";"description";"image_link";"additional_image_link";"quantity_to_sell_on_facebook"
"DPS-WP-20260501-2259-001";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Sundials%20Golden/Sundials_Golden.mp4";"4K Digital Wallpaper & Zoom Background | Sundial Shadow Garden Patio Set";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4497593022/4k-digital-wallpaper-zoom-background";"in stock";"new";"Transform your workspace with this serene 4K Digital Download bundle featuring five PNG images of a stunning garden patio setting. Each image captures the delicate interplay of a sundial's elongated shadow stretching across a sunlit garden during midsummer noon, rendered in calming monochromatic blue tones.

Perfect for desktop wallpaper and Zoom, Teams, or Google Meet backgrounds, these high-resolution images bring a peaceful, contemplative mood to any virtual meeting or home office setup. The soft gradient transitions and luminous composition create a professional yet artistic atmosphere that won't distract from your content.

What's Included: 5 PNG files, 4K resolution, instant download. No shipping—receive your files immediately after purchase. Simply download, extract, and set as your device wallpaper or upload to your video conferencing platform.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Sundials%20Golden/1.png";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Sundials%20Golden/2.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Sundials%20Golden/3.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Sundials%20Golden/4.png";"999"
"DPS-WP-20260501-2259-002";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Cave%20Waterfall/Cave_Waterfall.mp4";"Jungle Waterfall Wallpaper + Zoom Background | 4K Digital Download";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4497594372/dschungel-wasserfall-wallpaper-zoom";"in stock";"new";"Transform your workspace with this stunning 5 PNG Digital Download wallpaper bundle in 4K resolution. Each image features a hidden waterfall cascading through a jungle cave, rendered in street-art mural style with a soft grayscale gradient palette and luminous highlights.

Perfect for desktop backgrounds, laptop screens, and virtual meeting platforms like Zoom and Microsoft Teams. The moody yet uplifting ambiance brings natural inspiration and artistic energy to your workspace.

What you get: 5 high-resolution PNG files (4K) ready to use immediately. Simply download, set as your desktop wallpaper, or upload to your video conferencing software. No installation needed—instant digital delivery.

Ideal for creative professionals, remote workers, and anyone seeking an atmospheric, painterly aesthetic for their digital environment.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Cave%20Waterfall/1.png";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Cave%20Waterfall/2.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-01/Cave%20Waterfall/3.png";"999"
"DPS-WP-20260502-0635-001";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Midnight%20Terrace/Midnight_Terrace.mp4";"Rooftop Midnight Party Wallpaper & Zoom Background | 4K Digital Download";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4498078365/dachterrassen-mitternachtsparty";"in stock";"new";"Transform your screen with this atmospheric rooftop party Digital Download. This 5 PNG bundle in 4K resolution captures a dreamy midnight gathering with soft pastel tones, moody lighting, and an ethereal fog-kissed aesthetic. Perfect for both desktop wallpaper and Zoom/Teams backgrounds. The minimalist cartoon style and simplified characters create a calming, sophisticated vibe ideal for home office, creative workspace, or personal device customization. Simply download the files, select your preferred image, and upload to your device or video conference platform. No installation needed — instant use. Great for anyone seeking modern, artsy digital decor with a touch of twilight magic.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Midnight%20Terrace/1.png";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Midnight%20Terrace/2.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Midnight%20Terrace/3.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Midnight%20Terrace/4.png";"999"
"DPS-WP-20260502-0635-002";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Ember%20Circle/Ember_Circle.mp4";"Low-Poly Beach Bonfire Zoom Background | 4K Digital Wallpaper";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4498088886/low-poly-strandfeuer-wallpaper-4k";"in stock";"new";"Bring warmth and geometric beauty to your workspace with this 5 PNG Digital Download wallpaper bundle in stunning 4K resolution. Each image features a mesmerizing low-poly beach bonfire scene with silhouetted figures arranged in a circle, rendered in fiery reds, oranges, and golden amber hues. The composition showcases dramatic stormy skies, crystalline faceted surfaces, and a luminous northern horizon that creates an atmospheric, contemplative mood.

Perfect as a desktop wallpaper or Zoom/Teams background for creative professionals, meditation enthusiasts, or anyone seeking calming yet dynamic visuals. The wide-angle perspective and soft haze transitions provide depth without distracting detail. Simply download, extract your PNG files, and set them as your wallpaper or video conferencing backdrop. No installation needed—instant digital access.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Ember%20Circle/1.png";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Ember%20Circle/2.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Ember%20Circle/3.png, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-02/Ember%20Circle/4.png";"999"
"DPS-WP-20260503-1601-001";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Golden%20Hour/Golden_Hour.mp4";"Coastal Synthwave Wallpaper | 4K Digital Download | 80s Aesthetic Zoom Background";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4498515205/kusten-synthwave-wallpaper-o-4k-digital";"in stock";"new";"Transform your workspace with this stunning 5 PNG Digital Download set featuring moody coastal scenes with retro 80s synthwave aesthetics. Each 4K image captures a luxurious golden hour promenade bathed in warm light, dramatic stormy skies, and vintage neon color grading that brings cinematic mood to any screen.

Perfect for desktop wallpaper or as a professional Zoom and Teams background. The ethereal foggy atmosphere and luminous effects create depth and visual interest, while the warm gold and ivory palette complements modern home offices and creative spaces.

Simply download, unzip, and set your preferred image as your desktop background or upload to your video conferencing app. No physical shipping—instant access to all 5 high-resolution files. Ideal for creative professionals, content creators, and anyone seeking moody, atmospheric visuals.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Golden%20Hour/mockup_1.jpg";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Golden%20Hour/mockup_2.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Golden%20Hour/mockup_3.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Golden%20Hour/mockup_4.jpg";"999"
"DPS-WP-20260503-1601-002";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Neon%20Sail%20Serenity/Neon_Sail_Serenity.mp4";"Sailing Boat Wallpaper 4K | Neon Minimalist Zoom Background Bundle";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4498526620/segelboot-wallpaper-4k-neon-minimalista";"in stock";"new";"Transform your workspace with this stunning 5 PNG Digital Download wallpaper bundle. Each image features a serene sailing boat on still water, rendered in soft grayscale with luminous neon light accents that create an ethereal, atmospheric glow. Perfect as a desktop wallpaper or virtual meeting backdrop for Zoom, Teams, or any video conference platform.

All 5 images are delivered in 4K resolution, ensuring crystal-clear detail on any screen. The minimalist composition uses negative space and watercolor-inspired dissolving edges to create a calming, professional aesthetic. Each piece blends moody grayscale tones with vibrant neon highlights—ideal for productivity, creativity, or modern home office design.

Simply download, select your preferred image, and set as your wallpaper or Zoom background. No installation required. Instant digital delivery—start using immediately after purchase.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Neon%20Sail%20Serenity/mockup_1.jpg";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Neon%20Sail%20Serenity/mockup_2.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Neon%20Sail%20Serenity/mockup_3.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-03/Neon%20Sail%20Serenity/mockup_4.jpg";"999"
"DPS-WP-20260504-1317-001";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Moody%20Bloom/Moody_Bloom.mp4";"Black White Wildflower Wallpaper 4K Digital Download | Zoom Background";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4498968171/schwarz-weiss-wildblumen-wallpaper-4k-o";"in stock";"new";"Bring serene nature to your screen with this 5 PNG 4K Digital Download wallpaper set. Each image captures a stunning black and white wildflower meadow in peak bloom, featuring high-contrast macro detail, soft luminous glow, and moody atmospheric lighting. The ethereal bokeh blur and dramatic shadows create a fine art aesthetic perfect for both creative and professional spaces.

Ideal as a desktop wallpaper or Zoom/Teams video call background, these nature-inspired images add calm sophistication to any digital workspace. Simply download the 4K PNG files and set them as your device wallpaper or upload to your video conferencing platform. No installation needed—instant digital delivery.

This product was created with AI assistance (Leonardo AI). All designs are curated, reviewed, and prepared for download by a human creator.

This product was created using AI image generation (Leonardo AI) and manually curated.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Moody%20Bloom/mockup_1.jpg";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Moody%20Bloom/mockup_2.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Moody%20Bloom/mockup_3.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Moody%20Bloom/mockup_4.jpg";"999"
"DPS-WP-20260504-1317-002";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Solstice%20Lavender/Solstice_Lavender.mp4";"4K Lavender Field Wallpaper & Zoom Background | 5 PNG Digital Download";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4498978286/4k-lavendelfeld-wallpaper-zoom";"in stock";"new";"Transform your digital workspace with this serene 4K wallpaper bundle. Five high-resolution PNG images showcase a dreamy lavender field rendered in soft geometric facets, bathed in golden hour light with a warm peach glow. The ethereal composition features subtle particle effects, atmospheric mist, and luminous refraction that creates a calming, dreamlike mood perfect for both personal focus and professional video calls.

What's included:
• 5 PNG files (4K resolution)
• Digital Download — instant access, no waiting
• Ready for desktop wallpaper, Zoom backgrounds, Teams calls, or any video conferencing platform
• Symmetrical, centered design with soft vignette edges

Simply download, extract, and set as your desktop background or upload to your virtual meeting platform. Works with Windows, Mac, and all major video conferencing apps.

This product was created with AI assistance (Leonardo AI). All designs are curated, reviewed, and prepared for download by a human creator.

This product was created using AI image generation (Leonardo AI) and manually curated.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Solstice%20Lavender/mockup_1.jpg";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Solstice%20Lavender/mockup_2.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Solstice%20Lavender/mockup_3.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-04/Solstice%20Lavender/mockup_4.jpg";"999"
"DPS-WP-20260505-1404-001";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Neon%20Ridge%20Watch/Neon_Ridge_Watch.mp4";"Neon Mountain Seismograph Wallpaper + Zoom Background | 4K Digital Download";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4499572123/neon-berg-seismograph-wallpaper-zoom";"in stock";"new";"Bring vibrant, optimistic energy to your workspace with this stunning 5 PNG Digital Download wallpaper bundle in 4K resolution. Each image features a luminous seismograph monitoring hut perched on a windswept mountain ridge, rendered in a vibrant neon rainbow spectrum with soft watercolor transitions and ethereal diffraction glow effects.

This minimalist, non-photorealistic illustration combines geometric precision with dreamlike atmospheric details, creating a unique aesthetic perfect for creative professionals. Use these images as your desktop wallpaper to inspire daily productivity, or set them as your Zoom, Teams, or Google Meet background for memorable video calls.

What you get: 5 high-resolution PNG files (4K) ready to download instantly. No shipping, no waiting—use them immediately on any device. Generous negative space and spectral light effects make these designs versatile for any screen size or virtual meeting platform.

This product was created using AI image generation (Leonardo AI) and manually curated.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Neon%20Ridge%20Watch/mockup_1.jpg";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Neon%20Ridge%20Watch/mockup_2.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Neon%20Ridge%20Watch/mockup_3.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Neon%20Ridge%20Watch/mockup_4.jpg";"999"
"DPS-WP-20260505-1404-002";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Golden%20Hour%20Garden/Golden_Hour_Garden.mp4";"Sunflower Field Wallpaper & Zoom Background Bundle | 4K Digital Download";"2,99";"https://digipicshopdesigns.etsy.com/de/listing/4499582610/sonnenblumenfeld-wallpaper-zoom";"in stock";"new";"Escape to a tranquil sunflower field with this ethereal 4K Digital Download bundle. Get 5 PNG images showcasing a serene aerial view of blooming sunflowers in soft lavender and peach tones, captured in a dreamy animated style. Perfect for your desktop wallpaper or as a calming Zoom and Teams background for virtual meetings.

What's included:
• 5 high-resolution PNG files
• 4K quality for crisp, beautiful display
• Ready to use instantly — no installation needed

Use these peaceful floral scenes to transform your workspace and video calls. The muted, warm color palette and gentle, dreamlike atmosphere create a soothing backdrop that looks professional and personal at the same time. Instant download means you can set up your new wallpaper and meeting background in seconds.

This product was created using AI image generation (Leonardo AI) and manually curated.

📩 Message me for a free installation guide – available in English, German, Spanish, and Portuguese for Windows, Mac, and Linux. @digipicshop";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Golden%20Hour%20Garden/mockup_1.jpg";"https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Golden%20Hour%20Garden/mockup_2.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Golden%20Hour%20Garden/mockup_3.jpg, https://raw.githubusercontent.com/Susderk/mockup-uploads/main/mockups/2026-05-05/Golden%20Hour%20Garden/mockup_4.jpg";"999"
